This is the result file of the different benchmark tests.

The number in () after each tests shows how many SQL commands the particular
test did.  As one test may have many different parameters this gives only
a rough picture of what was done.  Check the source for more information :)

Keep in mind that one can't compare benchmarks run with different --cmp
options. The --cmp options sets the all limits according to the worst
limit for all server in the benchmark.

Numbers marked with '+' are estimated according to previous runs because
the query took longer than a given time-limit to finish. The estimation
shouldn't be far from the real result thought.

Numbers marked with '?' contains results that gave wrong result. This can only
be used as an indication of how long it took for the server to produce a wrong
result :)

Numbers marked with '*' are tests that was run a different number times
than the test in the first column.  The reason for this is normally that the
marked test was run with different options that affects the number of tests
or that the test was from another version of the MySQL benchmarks.

Hope this will give you some idea how each db is performing at what thing ....
Hope you like it .... Luuk & Monty (1997)

The test was run with limits from: mysql,pg

The result logs which where found and the options:
 1 mysql-mariadb_5.2.10_ddefault           : MySQL 5.2.10 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 2 mysql-mariadb_5.3.3_ddefault            : MySQL 5.3.3 MariaDB rc --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 3 mysql-mariadb_5.5_ddefault              : MySQL 5.5.21 MariaDB --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 4 mysql-mysql_5.5.20_ddefault             : MySQL 5.5.20 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default
 5 mysql-mysql_5.6.7_ddefault              : MySQL 5.6.4 m7 --socket=/tmp/mysql.sock.sqlbench --fast --fast-insert --only-missing-tests
  default

======================================================================
Operation                    |      1|      2|      3|      4|      5|
count_distinct_key_prefix (70|  15.00|  17.00|   1.00|   1.00|   1.00|
count_group (7000)           |  18.00|  21.00|  20.00|  20.00|  20.00|
count_group_on_key_parts (700|  26.00|  29.00|  26.00|  29.00|  31.00|
count_group_with_order (7000)|  18.00|  21.00|  19.00|  20.00|  20.00|
count_on_key (50100)         |  38.00|  43.00|  40.00|  39.00|  40.00|
create+drop (10000)          | 554.00| 582.00|   3.00| 592.00| 560.00|
create_MANY_tables (400)     |  18.00|  17.00|   0.00|  18.00|  18.00|
create_index (8)             |   1.00|   1.00|   0.00|   0.00|   0.00|
create_key+drop (10000)      | 573.00| 617.00|   4.00| 622.00| 585.00|
create_table (31)            |   1.00|   2.00|   0.00|   1.00|   2.00|
delete_all_many_keys (1)     |   4.00|   4.00|   4.00|   4.00|   4.00|
delete_big (1)               |   0.00|   0.00|   0.00|   0.00|   1.00|
delete_big_many_keys (128)   |   4.00|   4.00|   4.00|   4.00|   4.00|
delete_key (10000)           |   0.00|   0.00|   1.00|   0.00|   0.00|
delete_range (12)            |   1.00|   1.00|   1.00|   1.00|   1.00|
drop_index (8)               |   1.00|   0.00|   1.00|   1.00|   1.00|
drop_table (28)              |   1.00|   0.00|   0.00|   0.00|   0.00|
drop_table_when_MANY_tables (|   0.00|   0.00|   0.00|   0.00|   0.00|
insert (350768)              |   3.00|   3.00|   2.00|   2.00|   3.00|
insert_duplicates (100000)   |   4.00|   4.00|   4.00|   4.00|   6.00|
insert_key (100000)          |   6.00|   6.00|   6.00|   6.00|   5.00|
insert_many_fields (140000)  | 101.00| 103.00| 105.00| 104.00| 110.00|
insert_select_1_key (1)      |   1.00|   1.00|   0.00|   1.00|   1.00|
insert_select_2_keys (1)     |   1.00|   1.00|   1.00|   1.00|   1.00|
min_max (60)                 |   2.00|   2.00|   2.00|   1.00|   2.00|
min_max_on_key (85000)       |   7.00|   8.00|   8.00|   7.00|   8.00|
once_prepared_select (100000)|   7.00|   8.00|   9.00|   7.00|  10.00|
order_by_big (10)            |   5.00|   5.00|   6.00|   5.00|   5.00|
order_by_big_key (10)        |   5.00|   5.00|   5.00|   6.00|   6.00|
order_by_big_key2 (10)       |   5.00|   4.00|   5.00|   5.00|   6.00|
order_by_big_key_desc (10)   |   6.00|   6.00|   6.00|   5.00|   5.00|
order_by_big_key_diff (10)   |   5.00|   6.00|   5.00|   6.00|   5.00|
order_by_big_key_prefix (10) |   5.00|   5.00|   5.00|   5.00|   5.00|
order_by_key2_diff (500)     |   1.00|   0.00|   0.00|   0.00|   1.00|
order_by_key_prefix (500)    |   0.00|   1.00|   1.00|   1.00|   0.00|
order_by_range (500)         |   1.00|   0.00|   0.00|   0.00|   1.00|
outer_join (10)              |   5.00|   6.00|   7.00|   6.00|   6.00|
outer_join_found (10)        |   6.00|   6.00|   5.00|   6.00|   5.00|
outer_join_not_found (500)   |   5.00|   4.00|   5.00|   5.00|   5.00|
outer_join_on_key (10)       |   5.00|   4.00|   5.00|   5.00|   4.00|
prepared_select (100000)     |  10.00|  11.00|  12.00|  10.00|  14.00|
select_1_row (500000)        |  20.00|  23.00|  26.00|  24.00|  24.00|
select_1_row_cache (500000)  |  19.00|  27.00|  26.00|  21.00|  23.00|
select_2_rows (500000)       |  22.00|  26.00|  29.00|  25.00|  27.00|
select_big (80)              |   5.00|   5.00|   5.00|   5.00|   5.00|
select_big_str (50000)       |   7.00|   9.00|   8.00|   7.00|   9.00|
select_cache (10000)         |  19.00|  18.00|  23.00|  22.00|  21.00|
select_cache2 (10000)        |  19.00|  17.00|  22.00|  22.00|  22.00|
select_column+column (500000)|  24.00|  27.00|  30.00|  26.00|  28.00|
select_diff_key (500)        |   0.00|   0.00|   0.00|   0.00|   0.00|
select_distinct (40000)      |  61.00|  62.00|  60.00|  59.00|  59.00|
select_group (130111)        |  75.00|  80.00|  80.00|  75.00|  80.00|
select_group_when_MANY_tables|   0.00|   0.00|   1.00|   0.00|   0.00|
select_join (5000)           |  11.00|  12.00|  12.00|  12.00|  12.00|
select_key (200000)          |  18.00|  27.00|  22.00|  19.00|  20.00|
select_key2 (200000)         |  20.00|  30.00|  25.00|  20.00|  22.00|
select_key2_return_key (20000|  18.00|  28.00|  24.00|  19.00|  20.00|
select_key2_return_prim (2000|  19.00|  26.00|  24.00|  19.00|  20.00|
select_key_prefix (200000)   |  20.00|  30.00|  25.00|  20.00|  26.00|
select_key_prefix_join (5000)|  74.00|  76.00|  79.00|  77.00|  75.00|
select_key_return_key (200000|  18.00|  27.00|  20.00|  18.00|  18.00|
select_many_fields (140000)  | 172.00| 179.00| 192.00| 176.00| 184.00|
select_range (410)           |  20.00|  22.00|  21.00|  21.00|  22.00|
select_range_key2 (25010)    |   2.00|   4.00|   4.00|   4.00|   4.00|
select_range_prefix (25010)  |   4.00|   4.00|   4.00|   3.00|   4.00|
select_simple (500000)       |  12.00|  13.00|  13.00|  12.00|  12.00|
select_simple_cache (500000) |  11.00|  12.00|  12.00|  11.00|  11.00|
select_simple_join (25000)   |  13.00|  13.00|  14.00|  13.00|  13.00|
update_big (10)              |   4.00|   4.00|   3.00|   4.00|   4.00|
update_of_key (50000)        |   3.00|   3.00|   3.00|   3.00|   4.00|
update_of_key_big (501)      |   3.00|   2.00|   2.00|   3.00|   2.00|
update_of_primary_key_many_ke|   2.00|   2.00|   3.00|   2.00|   2.00|
update_with_key (300000)     |  16.00|  16.00|  18.00|  17.00|  20.00|
update_with_key_prefix (10000|   6.00|   7.00|   6.00|   6.00|   8.00|
wisc_benchmark (50014)       | 238.00| 250.00| 256.00| 258.00| 252.00|
----------------------------------------------------------------------
TOTALS                       |2707.00|2903.00|1650.00|2835.00|2827.00|
======================================================================
